CasoPeorBurbujaNormal;CasoMedioBurbujaNormal;CasoMejorBurbujaNormal;CasoPeorSeleccionDirectaNormal;CasoMedioSeleccionDirectaNormal;CasoMejorSeleccionDirectaNormal;CasoPeorMezclaNormal;CasoMedioMezclaNormal;CasoMejorMezclaNormal;CasoPeorBurbujaVolatile;CasoMedioBurbujaVolatile;CasoMejorBurbujaVolatile;CasoPeorSeleccionDirectaVolatile;CasoMedioSeleccionDirectaVolatile;CasoMejorSeleccionDirectaVolatile;CasoPeorMezclaVolatile;CasoMedioMezclaVolatile;CasoMejorMezclaVolatile;
   14300;   29100;    3300;   21600;    8600;    7900;    6700;    4100;    2200;   25800;   19800;    3500;   12100;    8400;    8100;    4800;    5500;    3900;
   14900;   29700;    3600;   24200;    8700;    6700;    6900;    4900;    2300;   26500;   20100;    3200;   12600;    8700;    8200;    5000;    4100;    4000;
   15400;   30200;    3500;   23400;    8800;    7200;    6100;    5400;    2400;   27600;   21200;    3300;   13100;    8700;    8300;    5400;    4800;    3800;
   15500;   27800;    3600;   21500;    8900;    7200;    6600;    6000;    2300;   29000;   20600;    3300;   12700;    9000;    8700;    9300;    4700;    3100;
   15300;   30200;    3700;   24800;   10300;    7400;    6700;    3900;    2200;   29000;   21300;    3400;   13200;   10200;    8700;    5100;    5000;    3100;
   16900;   30400;    3600;   25100;    9300;    7500;    7300;    4300;    2300;   30200;   22600;    3600;   13500;    9300;    8700;    6000;    4900;    4100;
   16300;   32100;    3900;   24200;    9400;    7500;    6000;    5200;    2400;   31700;   22100;    3600;   13700;    9600;    8900;    5500;    6100;    5300;
   16300;   33300;    4000;   25600;   10700;    7700;    5400;    5700;    2300;   30100;   22900;    3500;   13600;    9500;    9100;    5200;    4400;    4000;
   16800;   35400;    3800;   26400;    9800;    9200;    5700;    5000;    2300;   29200;   22900;    3700;   14200;   10800;    9400;    5600;    4700;    3900;
   17000;   34500;    3900;   27700;   10000;    8100;    5400;    6700;    2500;   32700;   24300;    5000;   14300;   10000;    9600;    5400;    7400;    4100;
   18000;   27000;    4000;   28600;   10300;    8200;    5700;    5100;    2500;   31800;   24100;    4300;   14500;    9900;    9700;    5300;    6000;    3100;
   23900;   26100;    4200;   27300;   10500;    8300;    5900;    6300;    2400;   31300;   23900;    4100;   14600;   10400;    9800;    5700;    5100;    3300;
   17800;   26500;    4100;   24600;   10600;    8500;    5400;    5200;    2400;   31800;   24500;    3900;   15100;   11800;   10100;    5400;    5200;    4500;
   18300;   25400;    4200;   27500;   10700;    8700;    6100;    4700;    2500;   33300;   25000;    3900;   15500;   10700;   10200;    5900;    5500;    4100;
   23000;   26600;    4400;   28800;   11500;   10100;    6200;    4500;    2500;   34500;   24700;    4000;   15900;   10700;   10400;    6300;    5100;    4200;
   19700;   33700;    4100;   29100;   11500;    9100;    5500;    4500;    2500;   38200;   26200;    4200;   15800;   11200;   10600;    6700;    7200;    5600;
   19300;   35200;    4500;   31500;   11200;    9100;    6000;    4400;    2500;   37700;   26900;    4200;   16200;   12700;   10800;    5500;    5200;    4100;
   19600;   69200;    4400;   30300;   11800;    9300;    5700;    4500;    2500;   37200;   27400;    4000;   16400;   11600;   11000;    5700;    5100;    4200;
   19700;   32500;    4500;   28800;   11900;    9500;    6400;    6500;    2600;   36900;   26400;    4100;   16700;   11800;   14200;    6700;    5200;    4200;
   20100;   71300;    4500;   30300;   12200;   10800;    6500;    9000;    2600;   37100;   27800;    4300;   18200;   12800;   11300;    5800;    5200;    4200;
   20400;   56600;    4800;   31100;   12000;   10100;    5900;    7800;    2500;   40300;   28200;    4100;   17100;   12200;   11500;    6000;    7200;    4200;
